Game_name,Upcoming,Ongoing,Completed
Fighting Games,"SOOP Super Tournament 2025, FightClub Championship VI Chengdu, DreamHack Atlanta 2025, SNK World Championship 2025 Finals, First Attack 2025, ",,"Thunderstruck 2025, SEA Major 2025, Vegas Climax V, Roundhouse 2025, SQ XL: Burst La Burst, "
StarCraft II,"RSL Revival: Season 3, Stellar Fest, SC4ALL: StarCraft II, RSL Revival: Season 3 Europe Qualifier, Sparkling Tuna Cup October, ","FSL S9, OSC Elite Rising Star #17, OSC 2025 MSP #2, OSC Elite Rising Star #16, LittleMac Master League: Season 10, ","Tenacious Turtle Tussle #33, SRC 2025 Fall, HyperONE Power Rankings #5, PiGosaur Cup #52, Monday Night Weeklies #25, "
PUBG,"PGC 2025, A1 Adria League Season 15, PGS 10 2025, PGS 9 2025, ",,"PPM: Masters West 2025, PPM: Masters West 2025 LC Americas, PPM: Masters West 2025 LC EMEA, PAQ 2025 Phase 2, PCL 2025 Autumn, "
Age of Empires,"King of the Desert VI, EGC Masters Finals 2025, Champions League 4, Top Br 2025: Main Event, Age of Champions #01 - Etapa 2, ","Symmetry of War, Turniej Strzaskanej Kopii, Svenska Age-Ligan: Elitserien, 1v1 HunCup 2025, AOE Winter Cup: League I, ","Through the Ages 1, CN AoE.IV 1v1, TNE 2025: Qualifier, Onimaru Invitational 2, Jerbot's Japanese Joust, "
Honor of Kings,"KIC 2025, KWO 2025, KNC 2025, KJL Fall 2025, ","TPĐC Winter 2025, KPL Grand Finals 25, GCS Summer 2025, AOG Winter 2025, ACS Winter 2025, ","INTRO KINGS Week 9, HOJ Round 6, IKL Fall 2025, CN National Tour S12 Finals, KWO 2025 Fixed Seats, "
Smash,"What's the Daily Smash Advice?, Port Priority 9, Kagaribi#14, Sumabato SP63, Luminosity Makes Moves Miami 2025, ",,"Québecup 2025, SmashMania 2025, Sumabato SP62, IMPACT MAJOR#1, EugeneBound: Summers, "
Call of Duty,"CODM Champs 2025, PROJECT MAJOR, Powerhouse Blitz Cup #3, Kaysan's Showdown 7, ","Clowns Cup 3, ","House of Dragons, Bazaar Legends League S5, WSOW 2025 Finals, "
Brawl Stars,"EBS: Group Stage, A1 Adria League Season 15: OQ #4, LC Happy Hour Series - October 30 (NA), EBS: Qualifier #8, EBS: Qualifier #7, ","T-esports Championship Season 2: Finals, Skepsis x Events360: EMEA League, CCBS Champions 2025, BSC 2025: LCQ, A1 Adria League Season 15: OQ #1, ","Haneki Tournament 2.14, BPS x BSEN Pre-LCQ, Effort Result #9, RGL Bronze Tournament #1, Liga LNA: Season Starz, "
Warcraft,"Dolphin Cocoon Into Butterfly Cup 35, Dolphin Cocoon Into Butterfly Cup 34, Dolphin Cocoon Into Butterfly Cup 33, Dolphin Cocoon Into Butterfly Cup 32, Dolphin Cocoon Into Butterfly Cup 31, ","Warcraft Pro League - Season 2, Miracle Fish Whale League, PRAE eSports League 1, Team Raven's Nest Tournament 7, Iterational Showmatches  1, ","Qianhua Cup 1, Showmatch ColorFul vs Infi - 9th Oct 2025, Showmatch FoCuS vs Life - 9th Oct 2025, Showmatch Infi vs Life - 9th Oct 2025, Showmatch Moon vs FoCuS - 9th Oct 2025, "
World of Tanks,"Onslaught Minor S4 APAC #6, Onslaught Minor S4 EU #6, OLF S4, OCS S4 Finals, Onslaught Minor S4 APAC #5, ","OLS S4, Onslaught Minor S4 NA #2, ","OCS S4 - Q4, OCS S4 - Q3, OCS Rising 1, OLF S4 - Q2, Onslaught Minor S4 APAC #1, "
EA SPORTS FC,"FCP 26 Open, FCP 26 Open Global Qual., FCP 26 Open RQ - Africa, FCP 26 Open RQ - Asia North, FCP 26 Open RQ - Asia South, ",,"The Showdown SA S1, The Showdown EU S1, ACG International 2025, MTN Shift 2025, FCP Champions Cup 2025 - FCO, "
StarCraft,"BSL 2025 Weekly #17, HF One Day Star W6, ","Uncoachable Star League 1, IPSL Winter 2025-26, C-Race Season 1, HF Newcomer's Challenge 2, BSL 21 Points, ","HF8 Invitational S10, Acropolis #4 - TS2, C2-League Week 33, BSL 20 Team Wars, BSL 2025 Weekly #16, "
Wild Rift,"RL25 Fall Split Showdown, RL25 Fall Split Battle, RL25 Fall Split Open 3, RL25 Fall Split Open 2, ","GOLDENROAD, ","Lets Go Wild 2025, SEMETON CUP SPECIAL ANNIVERSARY WILD RIFT BALI, RL25 Fall Split Open 1, Always-ON Wild Rift Season 4 - Monthly, Lets Go Wild Online : September 2025, "
Hearthstone,"GG LAN 17, Moscow Cybersport 25 #22, MT Last Call: Americas Qual. #2, Gold Open Xi'an, MT Last Call: Europe Qual. #2, ",,"MT Last Call: Americas Qual. #1, MT Last Call: Europe Qual. #1, MT Last Call: Asia Qual. #1, Hearthstone International Showmatch, Moscow Cybersport 25 #19, "
Heroes,,"EC S1, ","Sisters' Call Cup, HCC Europe, "
Artifact,,,
Marvel Rivals,"PCL Fall 2025 Premier, MRIG 2025: Grand Finals, BFTS: RTFA 2025 Finals, MRC S4: AMER PC, MRC S4: CN PC, ","MRIG 2025 S2:AMER, ","PRIME eLeague: Season 2, Protocolo Rivals Vol. #2, MRIG 2025 S2:OCE, MRIG 2025 S2:EMEA, MRIG 2025 S2:ASIA, "
Fortnite,"C6S4: Reload Quick Cup - W8: AS, C6S4: Reload Quick Cup - W8: BR, C6S4: Reload Quick Cup - W8: EU, C6S4: Reload Quick Cup - W8: ME, C6S4: Reload Quick Cup - W8: NAC, ","GirlyBella Ranked Grind, Lolly Events Ladder #2, Build Weekly Cup #39, Erazer - YR2V 2025 Last Chance Qualifier, Build Weekly Cup #38, ","C6S4: Fortnite Performance Evaluation - W10: EU, C6S4: Fortnite Performance Evaluation - W10: NAC, Team Mask Reload Fill #6, dubfath3r Fill scrims #31, dubfath3r Fill scrims #30, "
Teamfight Tactics,"Regional Finals - AMER, Regional Finals - APAC, Regional Finals - EMEA, TOC 2025 Fall: Regional Finals, TOC 2025 Fall: Super Server Clash, ","Tactician's Cup #2 - AMER, Tactician's Cup #2 - APAC, Tactician's Cup #2 - EMEA, ","Tactician's Trials #2 - AMER, Tactician's Trials #2 - APAC, Tactician's Trials #2 - APAC KR, Tactician's Trials #2 - EMEA, TPC: Star Guardian Cup - AMER, "
Free Fire,"FFWS Global Finals 2025 - CS, Lidoma ELS 2025 Global, FFWS Global Finals 2025, IFL S3: Pro Phase, FFLC 2025, ","LAFF 2025, All Star Mobile S1, Liga NFA 2025 S2, Inferno League, ","Telados FF Gratuito Mob, AXIS Cup Ladies S2, FFWS BR 2025 S2, FFWS SEA 2025 Fall BR, FFWS LATAM 2025 BR, "
Deadlock,"TRICK or TREAT, ",,"Night Shift #9 - EU, Night Shift #9 - NA, Night Shift #8 - EU, Night Shift #8 - NA, CIRCUIT Team League #2 SA, "
Esports,"2026 Asian Games, Esports World Cup 2026, 33rd SEA Games, IESF WEC 2025, ","SEL 2025, ","Esports World Cup 2025, Asian Champions League 2025, ESL Snapdragon Pro Series - Year Three, 2025 Liquipedia Ultimate Logo Series, IESF WEC 2024, "
Pokémon,"'26 LAIC - GO, '26 LA Champs - TCG, '26 LA Champs - UNITE, '26 LA Champs - VGC, 2026 Gdańsk Regionals - TCG, ","2025 World Cup of VGC, Wolfey Draft League S1, Unity Clash EUL, TN CM Trophy 2025, ","CC: LAIC Practice 1, 2026 Grand Challenge II, VR September 2025 Challenge #2, 2026 Pittsburgh Regionals - Go, 2026 Pittsburgh Regionals - TCG, "
CrossFire,"CFS 2025, CFS 2025 China, ","CFML S18, CFS 2025 PH, ","CFPH Impact Fall 2025, Legends Cup 2025, CFS 2025 Brazil, CFS 2025 Vietnam, CFS 2025 EUMENA, "
Trackmania,"Trackmania World Cup 2025, BPL S2, LIT, Bonk Cup 211, ",,"Bonk Cup 210, Fourmula Vae 2025, QRC, TMWT 2025 Playoffs #2, Unanimous Indecision Cup, "
GeoGuessr,"CGL S0 Team - Championship, Pin. Sat. #4, Pin. Sat. #4 - L2, GeoClassic #3, RASHINBAN 2025, ","Hispanic League: Liga Clausura 2025 - Division 1, Hispanic League: Liga Clausura 2025 - Division 2, Hispanic League: Liga Clausura 2025 - Division 3, LLG S10 D1, LLG S10 D2, ","CGL S0 D1 - Day 1, BIT 2025, Clas. Wildcard CPH 2025, CGL S0 D2 - Day 1, GJ Cup 2025 Autumn Move Div., "
osu!,"osu! World Cup 2025, osu! World Cup 2025 Qualifier, ","o!CL Fall 2025 - T3 Americas, o!CL Fall 2025 - T2 ROTW, 5 Digit Japan Tournament 2025, Monodramatic World Stage, osu!mania LN Tournament 4, ","osu!mania 4K World Cup 2025, 6 Digit World Cup 2025, ORST 2025, Monodramatic World Stage Qualifier, Two Shot Cup 2: Q2, "
Halo,"Halo World Championship 2025, ","Cloud9 5K Open, ","HCS25 Charlotte Major, HWC25 LCQ, HCS25 Charlotte - Open Bracket, TSM Pro AM 2, TSM Pro AM 1, "
Clash Royale,"BIGG Convention Gaming 2025, CRL 2025 Worlds, PGW 2025: BIGG Pro Series, ","BIGG Pro Series 2025 LB, SMCY Mixed S1, SMCY INC S1, ","CRL 2025 LCQ, Stats Royale Gold Edition, CRL 2025 LB, Crate x Jynxzi Cup 2025, BIGG Pro Series 2025 Online: August, "
Stormgate,,,"Aureil Circuit S1 - Grand Final, Aureil Circuit S1 - #10, Aureil Circuit S1 - #9, Aureil Circuit S1 - #8, Novea's Star Cup #1, "
Clash of Clans,"Worlds 2025, ","Golden Heart Cup S6, Savage Stars Cup, Mulan Cup Th17 S1, ","Eon League S7: Ethereal League, Worlds 2025 Last Chance Qualifier, Worlds 2025 August Qualifier, "
World of Warcraft,,,"Creator Clash Arena Showcase: Arena Showcase, "
Team Fortress,"ÜBERFEST 2025, ","RGL Sixes S19, NA-CTF2: Fall 2025, BrasilFortress S8: Invite, ETF2L 6v6 S50: Prem, ","ETF2L Highlander Summer 2025: Premiership, RGB LAN 8, QEL Post Cup 2: Div 2, QEL Post Cup 2: Div 3, QEL Post Cup 2: Invite, "
Arena FPS,,,"250FPS QL League: Season 3, EGB Cup #18, EGB Cup 2v2 #1, EGB Cup #17, "
Tetris,"1 Day October 2025, 2025 Jonas Cup, ","Red Bull Tetris, CTL Season 31, CTL S31 1A, CTL S31 1B, CTM October 2025, ","CTWC Iberia 2025, TWC 2025, ETM 21, CTWC NC 2025, Radiant 156, "
Rocket League Sideswipe,,,
Paladins,,,
Chess,"FIDE Women's Blitz WCC 2025, FIDE Blitz WCC 2025, FIDE Women's Rapid WCC 2025, FIDE Rapid WCC 2025, World Chess Cup '25, ","Titled Tuesday Grand Prix 2025-26 - Autumn Split, US Chess Championship 2025, CCC25 Blitz, European Team Ch. 2025, Russian Superfinal 2025, ","Titled Tuesday October 7, 2025, Checkmate: USA vs India, Freestyle Friday 37, Grand Chess Tour Finals, Titled Tuesday September 30, 2025, "
Formula 1,"Formula E 2025-2026, 2025 Abu Dhabi Grand Prix, 2025 Qatar Grand Prix, 2025 Las Vegas Grand Prix, Macau F4 2025, ","Formula 4 Brazilian 2025, Formula 2 2025, F1 2025, Formula 4 Indian 2025, Super Formula Lights 2025, ","2025 Singapore Grand Prix, Formula 4 British 2025, GB4 2025, Nordic 4 2025, AU4 2025, "
